STATEFP,CD115FP,AFFGEOID,GEOID,LSAD,CDSESSN,ALAND,AWATER,Perimeter
13,11,5001500US1311,1311,C2,115,2773088054,70602060,294482.77153300000
26,03,5001500US2603,2603,C2,115,6810456342,177813904,544987.72382500000
36,25,5001500US3625,3625,C2,115,1321389767,1831700038,163464.72197600000
36,07,5001500US3607,3607,C2,115,41806002,2675060,50398.04305210000
36,09,5001500US3609,3609,C2,115,40267196,502409,31211.41777270000
36,05,5001500US3605,3605,C2,115,134511928,184543098,54068.77077280000
06,10,5001500US0610,0610,C2,115,4714677851,54185569,371926.05614200000
17,04,5001500US1704,1704,C2,115,135768215,966146,114299.14275700000
29,01,5001500US2901,2901,C2,115,583315316,27454150,131902.04935100000
37,13,5001500US3713,3713,C2,115,4744708509,107294557,450161.40120600000
34,06,5001500US3406,3406,C2,115,557478433,503892484,225012.39628100000
06,53,5001500US0653,0653,C2,115,351481125,6103481,93442.67758690000
42,02,5001500US4202,4202,C2,115,191878241,3607903,61902.95969550000
04,07,5001500US0407,0407,C2,115,530597502,1640754,96781.29788870000
13,07,5001500US1307,1307,C2,115,1016918880,25473538,169820.05065300000
48,18,5001500US4818,4818,C2,115,609365837,4427671,186989.75137000000
12,24,5001500US1224,1224,C2,115,265238198,33029029,81197.82170340000
26,09,5001500US2609,2609,C2,115,475788210,13223182,138133.05085500000
51,08,5001500US5108,5108,C2,115,386568076,29341577,100815.36253800000
04,09,5001500US0409,0409,C2,115,426237566,2984352,129516.11367600000
17,01,5001500US1701,1701,C2,115,669233988,2069827,174037.54446000000
26,13,5001500US2613,2613,C2,115,478823763,5422500,153443.88854100000
39,16,5001500US3916,3916,C2,115,3121758444,31188827,464764.56658500000
17,11,5001500US1711,1711,C2,115,726622133,15497432,221926.98470000000
37,04,5001500US3704,3704,C2,115,1896723122,18289922,290790.68383500000
12,10,5001500US1210,1210,C2,115,1130599172,205785473,170865.86786100000
12,22,5001500US1222,1222,C2,115,427070323,250958427,138574.00379800000
48,07,5001500US4807,4807,C2,115,419749088,3106191,137802.04645200000
48,30,5001500US4830,4830,C2,115,922881706,32969231,167301.41101700000
48,20,5001500US4820,4820,C2,115,517220115,1459381,130059.65225300000
48,26,5001500US4826,4826,C2,115,2349824427,191493155,221960.94690500000
04,05,5001500US0405,0405,C2,115,760019080,2390597,119811.78482600000
47,05,5001500US4705,4705,C2,115,3233303766,72160080,303939.26691000000
47,09,5001500US4709,4709,C2,115,1252906121,53667284,238909.27043100000
17,09,5001500US1709,1709,C2,115,272939511,1558242,110980.50671400000
06,43,5001500US0643,0643,C2,115,186583272,555896,64102.80137070000
06,19,5001500US0619,0619,C2,115,2372249381,15213802,270155.26852400000
06,41,5001500US0641,0641,C2,115,820177168,4159166,147428.58466700000
06,46,5001500US0646,0646,C2,115,185529294,2547859,62439.09448370000
06,40,5001500US0640,0640,C2,115,149408227,1743217,62860.36099980000
06,48,5001500US0648,0648,C2,115,376881305,283036860,119047.16926100000
25,05,5001500US2505,2505,C2,115,686548485,58599141,153976.26846800000
42,01,5001500US4201,4201,C2,115,202017297,30946404,99737.68169540000
51,03,5001500US5103,5103,C2,115,1619146552,406712430,261357.98674300000
51,11,5001500US5111,5111,C2,115,479602706,21188539,168569.10048000000
53,07,5001500US5307,5307,C2,115,372860728,339774295,150556.54634600000
26,01,5001500US2601,2601,C2,115,64823095449,75783678613,2952967.63281000000
26,14,5001500US2614,2614,C2,115,480594163,97688493,165361.27021900000
26,08,5001500US2608,2608,C2,115,3893102432,99588318,355504.09657700000
36,14,5001500US3614,3614,C2,115,73725753,39260843,62872.96208680000
36,15,5001500US3615,3615,C2,115,37598152,6263939,28913.60803630000
34,01,5001500US3401,3401,C2,115,907048665,51215017,177169.45836100000
12,16,5001500US1216,1216,C2,115,3349916070,958648284,273980.66581300000
12,23,5001500US1223,1223,C2,115,486449067,184721434,103028.90366500000
24,07,5001500US2407,2407,C2,115,1264538611,14744815,298660.43834700000
55,01,5001500US5501,5501,C2,115,4475162549,2524036038,322417.88070100000
09,03,5001500US0903,0903,C2,115,1218128785,68639679,220330.77105300000
12,14,5001500US1214,1214,C2,115,714571197,234008132,143329.79359500000
36,13,5001500US3613,3613,C2,115,26315653,7203614,15115.76498180000
36,06,5001500US3606,3606,C2,115,77166992,711425,38059.99461430000
42,16,5001500US4216,4216,C2,115,2584021858,105025528,396637.69031800000
30,00,5001500US3000,3000,C1,115,376960880222,3871059371,2835150.31106000000
34,09,5001500US3409,3409,C2,115,246845399,19505879,108014.81153400000
27,05,5001500US2705,2705,C2,115,351509734,16674892,89223.90311400000
06,34,5001500US0634,0634,C2,115,123465377,783650,51356.67535040000
39,08,5001500US3908,3908,C2,115,6346849932,40207235,531968.25792900000
39,07,5001500US3907,3907,C2,115,10009870594,64671712,855112.36159400000
41,04,5001500US4104,4104,C2,115,44734929671,2229798138,1054470.35855000000
51,01,5001500US5101,5101,C2,115,10908617587,1767347311,681825.05623500000
22,02,5001500US2202,2202,C2,115,3285061039,522507336,656746.75474800000
12,12,5001500US1212,1212,C2,115,2225709299,543289800,245671.50621300000
31,02,5001500US3102,3102,C2,115,1320129902,43574676,165583.60428700000
06,35,5001500US0635,0635,C2,115,437423307,309741,119734.35748800000
12,03,5001500US1203,1203,C2,115,9233151320,722439524,443671.38775800000
32,01,5001500US3201,3201,C2,115,270624139,16683,70363.79452110000
48,03,5001500US4803,4803,C2,115,1245254103,98149448,161093.96981600000
36,17,5001500US3617,3617,C2,115,990754154,149873221,152939.93877500000
12,27,5001500US1227,1227,C2,115,293291784,597442671,122184.88957600000
11,98,5001500US1198,1198,C4,115,158351639,18675956,61066.95378160000
13,01,5001500US1301,1301,C2,115,20880536010,2248892004,929718.04518000000
13,09,5001500US1309,1309,C2,115,13497964615,411754565,607243.60256500000
17,13,5001500US1713,1713,C2,115,15004789445,216512557,912210.08036300000
18,03,5001500US1803,1803,C2,115,10826747936,135332323,513160.89954500000
19,04,5001500US1904,1904,C2,115,58937921470,264842664,1174387.59665000000
27,01,5001500US2701,2701,C2,115,31012750187,541310820,1045240.08979000000
39,13,5001500US3913,3913,C2,115,2315893758,70480190,429825.93569500000
40,02,5001500US4002,4002,C2,115,54380778941,1949953912,1407643.75661000000
48,13,5001500US4813,4813,C2,115,99324834105,766086802,2010490.98540000000
50,00,5001500US5000,5000,C1,115,23873457570,1031134839,805472.69422900000
06,03,5001500US0603,0603,C2,115,16016675422,456738339,916611.34840400000
45,01,5001500US4501,4501,C2,115,4008869914,2197476605,745359.30921800000
48,17,5001500US4817,4817,C2,115,19814872130,309535606,863737.18209900000
48,25,5001500US4825,4825,C2,115,19742346368,316135102,1081688.26551000000
06,36,5001500US0636,0636,C2,115,15313274422,201717667,634406.67129600000
12,01,5001500US1201,1201,C2,115,10405022944,1920198807,536986.37086600000
13,02,5001500US1302,1302,C2,115,24931972415,449472216,864867.01865100000
18,04,5001500US1804,1804,C2,115,16450535829,70422165,681799.48646500000
19,03,5001500US1903,1903,C2,115,22761908990,156085934,727612.28775400000
21,02,5001500US2102,2102,C2,115,18590113025,400504493,1108772.74240000000
23,02,5001500US2302,2302,C2,115,71374167567,7014040632,1655791.76086000000
35,03,5001500US3503,3503,C2,115,116455539384,306910807,1886522.67518000000
29,04,5001500US2904,2904,C2,115,37311486202,744930706,1339474.44955000000
36,11,5001500US3611,3611,C2,115,168154101,128598705,75066.71190680000
48,36,5001500US4836,4836,C2,115,18455855223,1242361098,784970.60093500000
48,01,5001500US4801,4801,C2,115,20379651926,951774857,848120.39121700000
51,10,5001500US5110,5110,C2,115,3551510219,37716508,475812.64618900000
53,06,5001500US5306,5306,C2,115,17876929516,5100644174,690456.88743900000
01,06,5001500US0106,0106,C2,115,10802840847,176671228,797163.19897000000
53,01,5001500US5301,5301,C2,115,16019745919,1098044552,726089.90932300000
06,45,5001500US0645,0645,C2,115,855911615,5327953,125956.41121000000
05,01,5001500US0501,0501,C2,115,50035449740,1234801742,1701363.88093000000
08,03,5001500US0803,0803,C2,115,128801473805,388035363,2005248.03125000000
25,03,5001500US2503,2503,C2,115,1962144439,76251014,281754.45639300000
26,12,5001500US2612,2612,C2,115,1044251681,72039332,215796.85022700000
27,07,5001500US2707,2707,C2,115,86581180363,5057706724,1909385.54885000000
28,03,5001500US2803,2803,C2,115,33033314456,342512113,1377876.29749000000
31,03,5001500US3103,3103,C2,115,174641284006,1077690968,2309564.51610000000
39,06,5001500US3906,3906,C2,115,18685899843,202614327,1142315.56213000000
47,01,5001500US4701,4701,C2,115,10727532484,207535869,652463.50048700000
40,05,5001500US4005,4005,C2,115,5371380241,59056725,468358.14363400000
42,11,5001500US4211,4211,C2,115,8692587229,193801093,799707.23980400000
04,04,5001500US0404,0404,C2,115,85987712579,504274113,2519998.60351000000
06,13,5001500US0613,0613,C2,115,250704087,127161024,74325.01831710000
06,05,5001500US0605,0605,C2,115,4482412550,319292815,437636.73788000000
12,04,5001500US1204,1204,C2,115,4065702591,1017145271,441396.53727300000
16,01,5001500US1601,1601,C2,115,102096846269,1311800081,2373793.00250000000
21,01,5001500US2101,2101,C2,115,31293052442,1224600771,1548059.02702000000
25,06,5001500US2506,2506,C2,115,1364157680,864455788,212022.00742100000
27,08,5001500US2708,2708,C2,115,72279889700,12450296907,1601687.51907000000
37,02,5001500US3702,3702,C2,115,6988484962,95863414,595904.18062500000
48,33,5001500US4833,4833,C2,115,549094430,16597231,211060.21562300000
13,06,5001500US1306,1306,C2,115,774197747,14045945,152082.25837700000
01,05,5001500US0105,0105,C2,115,9526132610,459315160,607370.43261900000
04,01,5001500US0401,0401,C2,115,142546050209,354049454,2566304.52825000000
13,12,5001500US1312,1312,C2,115,21202177276,375197181,957940.31111100000
22,05,5001500US2205,2205,C2,115,37433744653,1114650961,1647991.17082000000
26,02,5001500US2602,2602,C2,115,8540026707,7429788536,528216.47093800000
26,05,5001500US2605,2605,C2,115,6083511035,4835435284,657810.35289700000
34,03,5001500US3403,3403,C2,115,2326349284,618688651,300158.73291700000
18,09,5001500US1809,1809,C2,115,11620750501,145921133,594086.36317300000
17,12,5001500US1712,1712,C2,115,12971461658,462555006,765219.40505700000
22,06,5001500US2206,2206,C2,115,10447660904,1012420537,1116734.15405000000
25,09,5001500US2509,2509,C2,115,3149602733,5148720788,700275.77248400000
27,02,5001500US2702,2702,C2,115,6314196469,243534838,446107.51524700000
29,03,5001500US2903,2903,C2,115,17745385735,368183517,847901.60062800000
47,07,5001500US4707,4707,C2,115,23725142425,416632763,991652.86541700000
48,34,5001500US4834,4834,C2,115,21214143666,3364091631,1353961.26998000000
06,32,5001500US0632,0632,C2,115,321800650,5294390,91970.82118430000
12,07,5001500US1207,1207,C2,115,1017701317,110468531,157707.13383300000
17,03,5001500US1703,1703,C2,115,613767733,13129912,155086.07905000000
24,04,5001500US2404,2404,C2,115,771431747,48192537,244426.96725000000
48,29,5001500US4829,4829,C2,115,484545639,10301758,166731.22384500000
53,09,5001500US5309,5309,C2,115,475103338,104562198,134903.64806700000
37,12,5001500US3712,3712,C2,115,1087721309,54513631,176240.51233400000
06,11,5001500US0611,0611,C2,115,1268414564,101723291,198294.27945500000
12,18,5001500US1218,1218,C2,115,3914276313,979029452,316339.93514500000
16,02,5001500US1602,1602,C2,115,111951314468,1081555671,1816876.13289000000
18,08,5001500US1808,1808,C2,115,18792547028,278267318,861044.41317900000
20,03,5001500US2003,2003,C2,115,1961376350,33268793,220019.90918500000
25,01,5001500US2501,2501,C2,115,6086961487,129548620,452819.41668900000
27,06,5001500US2706,2706,C2,115,7463332695,405721162,605527.73379000000
32,03,5001500US3203,3203,C2,115,7378700262,102756400,440257.64152800000
36,19,5001500US3619,3619,C2,115,20556863321,430599756,872858.91649100000
53,05,5001500US5305,5305,C2,115,40075952621,599022241,1099770.79026000000
13,13,5001500US1313,1313,C2,115,1849865552,25859931,304234.05415400000
27,03,5001500US2703,2703,C2,115,1364907543,145011977,203796.11614600000
49,03,5001500US4903,4903,C2,115,51990466713,458620703,1604223.26113000000
54,03,5001500US5403,5403,C2,115,25241031983,191746267,1078270.42635000000
06,14,5001500US0614,0614,C2,115,672492255,827356051,148765.74149500000
06,08,5001500US0608,0608,C2,115,85126844954,450306547,1735957.59213000000
12,19,5001500US1219,1219,C2,115,1942414991,1598133107,335813.73259200000
13,14,5001500US1314,1314,C2,115,9384068854,51814494,556266.50681300000
22,01,5001500US2201,2201,C2,115,10439692168,14395561130,1195697.12462000000
15,02,5001500US1502,1502,C2,115,16092682060,11320984469,1352809.89769000000
18,05,5001500US1805,1805,C2,115,4985157357,41028527,383594.31584500000
18,07,5001500US1807,1807,C2,115,787118054,4770564,113888.51394900000
34,11,5001500US3411,3411,C2,115,1310082064,67961483,223760.10310800000
42,08,5001500US4208,4208,C2,115,1831137408,49166866,222441.62463500000
48,31,5001500US4831,4831,C2,115,5579439217,137165219,364899.68123500000
36,08,5001500US3608,3608,C2,115,73603943,48116164,77491.98311770000
40,03,5001500US4003,4003,C2,115,88363168692,812730566,1930569.71474000000
42,03,5001500US4203,4203,C2,115,9973312521,2116281822,667583.72219800000
51,02,5001500US5102,5102,C2,115,2858942639,5175186818,618208.43627600000
55,02,5001500US5502,5502,C2,115,11750365665,189145438,534740.90908000000
06,30,5001500US0630,0630,C2,115,352105778,5012016,103570.50120400000
12,15,5001500US1215,1215,C2,115,2816305893,215203162,290546.50545400000
47,02,5001500US4702,4702,C2,115,6013228330,278795888,611925.48592900000
48,32,5001500US4832,4832,C2,115,482006740,34290041,146151.18518000000
06,49,5001500US0649,0649,C2,115,1433399632,511517467,232461.85312800000
06,31,5001500US0631,0631,C2,115,565291880,6412057,178261.08388900000
09,01,5001500US0901,0901,C2,115,1749270617,51354205,306662.65025400000
13,03,5001500US1303,1303,C2,115,9935634133,215325903,576918.44473100000
12,17,5001500US1217,1217,C2,115,14434123174,1921259405,620485.35559600000
17,15,5001500US1715,1715,C2,115,38062093379,353696036,1363595.76435000000
18,06,5001500US1806,1806,C2,115,16075807854,106464022,642857.25551800000
21,04,5001500US2104,2104,C2,115,11334568681,289884598,871371.68378600000
24,03,5001500US2403,2403,C2,115,788562242,252318226,398513.06125600000
27,04,5001500US2704,2704,C2,115,861409413,84710210,136706.77127500000
29,06,5001500US2906,2906,C2,115,47133860847,527236188,1428090.89849000000
32,04,5001500US3204,3204,C2,115,132082704605,628524273,1730861.76085000000
39,05,5001500US3905,3905,C2,115,14572392533,72293142,720388.27777300000
39,04,5001500US3904,3904,C2,115,12081697622,123076694,931114.11734900000
42,18,5001500US4218,4218,C2,115,5368517141,17435303,479348.11398200000
45,03,5001500US4503,4503,C2,115,13644904138,518812682,582583.78830300000
47,06,5001500US4706,4706,C2,115,16769931854,324687115,774480.92005500000
48,23,5001500US4823,4823,C2,115,150370085797,449322589,2510686.47125000000
54,02,5001500US5402,5402,C2,115,20770704762,121810592,1365110.86024000000
55,06,5001500US5506,5506,C2,115,12739427418,7317184536,813442.43512000000
51,07,5001500US5107,5107,C2,115,8075204112,145041508,598946.57128100000
08,06,5001500US0806,0806,C2,115,1227603408,22105056,266526.38208600000
36,10,5001500US3610,3610,C2,115,36382665,23226245,35631.66621040000
12,13,5001500US1213,1213,C2,115,470881681,639929451,118281.44516300000
53,10,5001500US5310,5310,C2,115,2141734118,234916125,276299.82014700000
12,02,5001500US1202,1202,C2,115,28499495272,4837033100,1310441.13508000000
12,20,5001500US1220,1220,C2,115,5592899394,637545841,526686.45475900000
12,25,5001500US1225,1225,C2,115,9079118653,445389220,545012.64652000000
12,26,5001500US1226,1226,C2,115,5657950451,7736018255,786390.11011300000
12,09,5001500US1209,1209,C2,115,5987921341,798384093,371510.71116500000
